stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1,1,"Jackson & Austin Terminal","Jackson & Austin Terminal, Northeastbound, Bus Terminal",41.87632969,-87.77411061,0,,1
2,2,"5900 W Jackson","5900 W Jackson, Eastbound, Southside of the Street",41.87707463,-87.77132373,0,,1
4,4,"5700 W Jackson","5700 W Jackson, Eastbound, Southside of the Street",41.8769922,-87.76826417,0,,1
6,6,"Jackson & Lotus","Jackson & Lotus, Eastbound, Southeast Corner",41.87652085,-87.76145179,0,,1
7,7,"5351 W Jackson","5351 W Jackson, Eastbound, Southside of the Street",41.87655982,-87.75893123,0,,1
8,8,"Jackson & Lockwood","Jackson & Lockwood, Eastbound, Southeast Corner",41.87657185,-87.75731879,0,,1
9,9,"Jackson & Laramie","Jackson & Laramie, Eastbound, Southeast Corner",41.87660248,-87.75462104,0,,1
10,10,"Jackson & Leamington","Jackson & Leamington, Eastbound, Southeast Corner",41.8766342,-87.75317419,0,,1
11,11,"5047 W Jackson","5047 W Jackson, Eastbound, Southside of the Street",41.87665915,-87.75128834,0,,1
12,12,"Jackson & Lavergne","Jackson & Lavergne, Eastbound, Southeast Corner",41.87667615,-87.74884301,0,,1
13,13,"4849 W Jackson","4849 W Jackson, Eastbound, Southside of the Street",41.87669677,-87.74702316,0,,1
14,14,"Jackson & Cicero","Jackson & Cicero, Eastbound, Southeast Corner",41.87677098,-87.74483644,0,,1
15,15,"Jackson & Kilpatrick","Jackson & Kilpatrick, Eastbound, Southeast Corner",41.8768376,-87.74255479,0,,1
16,16,"Jackson & Kenton","Jackson & Kenton, Eastbound, Southside of the Street",41.87684143,-87.74059103,0,,1
18,18,"Jackson & Kilbourn","Jackson & Kilbourn, Eastbound, Southeast Corner",41.87689357,-87.73761999,0,,1
19,19,"Jackson & Kostner","Jackson & Kostner, Eastbound, Southeast Corner",41.87692282,-87.7351646,0,,1
20,20,"Jackson & Kildare","Jackson & Kildare, Eastbound, Southeast Corner",41.87694085,-87.73265578,0,,1
21,21,"Jackson & Keeler","Jackson & Keeler, Eastbound, Southeast Corner",41.87697085,-87.73020578,0,,1
22,22,"Jackson & Karlov","Jackson & Karlov, Eastbound, Southeast Corner",41.87701444,-87.72781365,0,,1
23,23,"Jackson & Pulaski","Jackson & Pulaski, Eastbound, Southeast Corner",41.87704788,-87.725335,0,,1
24,24,"Jackson & Springfield","Jackson & Springfield, Eastbound, Southeast Corner",41.8770764,-87.72296018,0,,1
25,25,"Jackson & Hamlin","Jackson & Hamlin, Eastbound, Southwest Corner",41.8770885,-87.72083241,0,,1
26,26,"Jackson & Central Park","Jackson & Central Park, Eastbound, Southeast Corner",41.87714967,-87.71548297,0,,1
27,27,"Jackson & St. Louis","Jackson & St. Louis, Eastbound, Southeast Corner",41.87718885,-87.71324677,0,,1
29,29,"Jackson & Spaulding","Jackson & Spaulding, Eastbound, Southeast Corner",41.87723901,-87.70828241,0,,1
30,30,"Jackson & Kedzie","Jackson & Kedzie, Eastbound, Southeast Corner",41.87726589,-87.7057797,0,,1
31,31,"Jackson & Albany","Jackson & Albany, Eastbound, Southeast Corner",41.87729585,-87.70332877,0,,1
32,32,"Jackson & Sacramento","Jackson & Sacramento, Eastbound, Southeast Corner",41.87732585,-87.70087277,0,,1
34,34,"Jackson & California","Jackson & California, Eastbound, Southeast Corner",41.87737867,-87.69596091,0,,1
36,36,"2609 W Jackson","2609 W Jackson, Eastbound, Southwest Corner",41.87743145,-87.6916633,0,,1
38,38,"Jackson & Western","Jackson & Western, Eastbound, Southeast Corner",41.87749727,-87.68603149,0,,1
39,39,"Jackson & Oakley","Jackson & Oakley, Eastbound, Southeast Corner",41.87750385,-87.68365776,0,,1
40,40,"Jackson & Leavitt","Jackson & Leavitt, Eastbound, Southeast Corner",41.87755181,-87.6812767,0,,1
41,41,"Jackson & Hoyne","Jackson & Hoyne, Eastbound, Southeast Corner",41.87740287,-87.67874163,0,,1
42,42,"Jackson & Damen","Jackson & Damen, Eastbound, Southwest Corner",41.87742885,-87.67667812,0,,1
44,44,"Damen & Congress","Damen & Congress, Southbound, Northwest Corner",41.87514532,-87.67664815,0,,1
48,48,"Harrison & Wood","Harrison & Wood, Eastbound, Southeast Corner",41.87406685,-87.67133976,0,,1
51,51,"Ashland & Van Buren","Ashland & Van Buren, Northbound, Northeast Corner",41.87655943,-87.66652097,0,,1
52,52,"Malcolm X College","Malcolm X College, Eastbound, Southside of the Street",41.87744033,-87.67484661,0,,1
